resource_name,matched_term,label,pmcid,paragraph_text
IDEAL,IDEAL,1,PMC9952413,"We noticed that the distribution of pLDDTs of ProSs in IDEAL is similar to their result [36,37]."
IID,IID,0,PMC9952413,"A representative example of group1_LH is Bcl-2-like protein 11 (UniProt AC:054918, IDEAL ID: IID50303), commonly called Bim (red triangle inFigure 2c)."
IID,IID,0,PMC9952413,"EXAMPLES OF PROSS IN THE POOR CLASS The cyclin-dependent kinase inhibitor 1, p21 (UniProt AC: P38936, IDEAL ID: IID00043) is a typical example of the poor class (blue circle inFigure 2c)."
IID,IID,0,PMC9952413,"An example of group1_SD is chromobox protein homolog 8 (Q9HC52, IID00682), commonly called Cbx8 (red square inFigure 2c)."
resource_name,matched_alias,prediction,pmcid,sentence
APID,APID,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
IntAct,IntAct,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
BioGRID,BioGRID,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
APID,APID,1,PMC12075958,"### 2.1.3 PROTEIN-PROTEIN INTERACTIONS (PPIS) NETWORK CONSTRUCTION The candidate platelet protein targets were introduced into four databases (BioGRID (Oughtred et al., 2021), IID (Kotlyar et al., 2015), APID (Alonso-López et al., 2019), and IntAct (Orchard et al., 2013)) for the retrieval of Proteins-Proteins interactions."
BioGRID,BioGRID,1,PMC12075958,"### 2.1.3 PROTEIN-PROTEIN INTERACTIONS (PPIS) NETWORK CONSTRUCTION The candidate platelet protein targets were introduced into four databases (BioGRID (Oughtred et al., 2021), IID (Kotlyar et al., 2015), APID (Alonso-López et al., 2019), and IntAct (Orchard et al., 2013)) for the retrieval of Proteins-Proteins interactions."
IID,IID,1,PMC12075958,"### 2.1.3 PROTEIN-PROTEIN INTERACTIONS (PPIS) NETWORK CONSTRUCTION The candidate platelet protein targets were introduced into four databases (BioGRID (Oughtred et al., 2021), IID (Kotlyar et al., 2015), APID (Alonso-López et al., 2019), and IntAct (Orchard et al., 2013)) for the retrieval of Proteins-Proteins interactions."
IID,IID,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
IntAct,IntAct,1,PMC12075958,"### 2.1.3 PROTEIN-PROTEIN INTERACTIONS (PPIS) NETWORK CONSTRUCTION The candidate platelet protein targets were introduced into four databases (BioGRID (Oughtred et al., 2021), IID (Kotlyar et al., 2015), APID (Alonso-López et al., 2019), and IntAct (Orchard et al., 2013)) for the retrieval of Proteins-Proteins interactions."
Rice Oligonucleotide Array Database,ROAD,1,PMC6088249,"Next, functional annotations of candidate genes in the DT-QTL segments were investigated using the ROAD database and Rice Genome Annotation Database (Kawahara et al.,2013)."
Rice Oligonucleotide Array Database,ROAD,1,PMC6088249,"The putative genes in RM447 with the highest numbers of co-expressed genes based on the ROAD database were Os08g41990 (aminotransferase), Os08g42380 (mitochondrial import inner membrane translocase subunit Tim), and Os08g42400 (no apical meristem protein) (Figure7; Table1)."
Rice Oligonucleotide Array Database,ROAD,1,PMC6088249,"For Os08g43440, which encodes cytochrome P450 associated with oxidation reduction shows, positive and negative expression with 91 genes and 1 gene, respectively based on ROAD (Figure8; Table1)."
Rice Oligonucleotide Array Database,ROAD,1,PMC6088249,"## IDENTIFICATION OF PUTATIVE GENES IN DT-QTL SEGMENTS AND CO-EXPRESSION NETWORK ANALYSIS To explore putative biological processes that the putative genes within the DT-QTL segments are involved in, the genes found in each segment were used as query genes for the co-expression network construction tool in the Rice Oligonucleotide Array Database; ROAD (Cao et al.,2012), under abiotic stress conditions with PCC cutoff of 0.85 and depth of network as a default setting."
Rice Oligonucleotide Array Database,ROAD,1,PMC6088249,"Based on GO term enrichment analysis performed using ROAD (Cao et al.,2012) (P< 0.05), 14 significant functional groups were observed in each DT-QTL."
Rice Oligonucleotide Array Database,ROAD,0,PMC12166062,"## ROAD DATA This study utilized OpenStreetMap (OSM) road data, specifically for roads that are accessible to motor vehicles (as shown in Table1)."
Transformer,Transformer,0,PMC12166062,"The results show that all models achieved accuracy, precision, recall, and F1 scores above 0.90, with the Swin Transformer model reaching the highest accuracy of 0.924."
Transformer,Transformer,0,PMC12166062,"Swin Transformer 0.924 Paved 0.947 0.905 0.925 1,100"
MAPS,MAPS,0,PMC12166062,National-and regional-scale road surface maps generated from this dataset (as shown in Fig.5) can provide crucial indicators for monitoring progress toward this goal.
Super-Enhancer Archive,SEA,0,PMC12176152,The comprehensive experiments and comparisons allow us to gain a deeper understanding of the strengths and limitations of SEA-YOLO v8 in the context of road damage detection.
ROAD,ROAD,0,PMC12176152,The comprehensive experiments and comparisons allow us to gain a deeper understanding of the strengths and limitations of SEA-YOLO v8 in the context of road damage detection.
Super-Enhancer Archive,SEA,0,PMC12176152,"In order to meet this challenge, this study constructed SEA-YOLO v8 model for road damage detection."
ROAD,ROAD,0,PMC12176152,"In order to meet this challenge, this study constructed SEA-YOLO v8 model for road damage detection."
Transformer,Transformer,0,PMC12176152,"Proposed a tracking model based on transformer optimization, Road-Transtrack."
ROAD,ROAD,0,PMC12176152,"Proposed a tracking model based on transformer optimization, Road-Transtrack."
ORDER,ORDER,0,PMC12176152,"In order to meet this challenge, this study constructed SEA-YOLO v8 model for road damage detection."
HAND,HAND,0,PMC12176152,"Nevertheless, the complex road environment limits the ability of traditional image processing to meet the demands of real-world engineering in terms of model generalization and robustness when relying on hand-crafted feature extraction [11]."
ROAD,ROAD,0,PMC12176152,"Nevertheless, the complex road environment limits the ability of traditional image processing to meet the demands of real-world engineering in terms of model generalization and robustness when relying on hand-crafted feature extraction [11]."
ORDER,ORDER,0,PMC12176152,"In order to fully evaluate the optimization effect of each component and evaluate the performance of our SEA-YOLO v8 in road injury detection, we selected several representative algorithms for comparison, including the baseline model and variants of YOLO v8, detailed experimental results are shown inTable 5."
Super-Enhancer Archive,SEA,0,PMC12176152,"In order to fully evaluate the optimization effect of each component and evaluate the performance of our SEA-YOLO v8 in road injury detection, we selected several representative algorithms for comparison, including the baseline model and variants of YOLO v8, detailed experimental results are shown inTable 5."
ROAD,ROAD,0,PMC12176152,"In order to fully evaluate the optimization effect of each component and evaluate the performance of our SEA-YOLO v8 in road injury detection, we selected several representative algorithms for comparison, including the baseline model and variants of YOLO v8, detailed experimental results are shown inTable 5."
RISE,RISE,0,PMC12176152,It is reported that traffic accidents caused by road potholes and crack collapse are on the rise.
ROAD,ROAD,0,PMC12176152,It is reported that traffic accidents caused by road potholes and crack collapse are on the rise.
SPEED,SPEED,0,PMC12176152,"However, the intricate nature of road environments poses challenges for automated systems in achieving the necessary precision and speed for practical applications, while also imposing significant hardware and operational costs."
ROAD,ROAD,0,PMC12176152,"However, the intricate nature of road environments poses challenges for automated systems in achieving the necessary precision and speed for practical applications, while also imposing significant hardware and operational costs."
Rice Oligonucleotide Array Database,ROAD,1,PMC5913055,"3DAPS, seeds at 3 d after pollination; 7DS, 7-day-old shoots; 7DR, 7-day-old roots; ML, mature leaves; MF, mature flower; YP, young panicles (2 cm long); and anthers at bi-cellular gametophyte stage (BG); tri-cellular mature pollen stage (MP); meiosis and tetrad (M/T); and uni-cellular gametophyte stage (UG) ## BIOLOGICAL PROCESSES SPECIFIC TO LATE POLLEN-PREFERRED GENES We conducted a Gene Ontology (GO) enrichment analysis in ROAD (Jung et al.2008) to query 627 late pollen-preferred genes belonging to Clusters 2 and 35."
GOC,GO,1,PMC5913055,"3DAPS, seeds at 3 d after pollination; 7DS, 7-day-old shoots; 7DR, 7-day-old roots; ML, mature leaves; MF, mature flower; YP, young panicles (2 cm long); and anthers at bi-cellular gametophyte stage (BG); tri-cellular mature pollen stage (MP); meiosis and tetrad (M/T); and uni-cellular gametophyte stage (UG) ## BIOLOGICAL PROCESSES SPECIFIC TO LATE POLLEN-PREFERRED GENES We conducted a Gene Ontology (GO) enrichment analysis in ROAD (Jung et al.2008) to query 627 late pollen-preferred genes belonging to Clusters 2 and 35."
GOC,Gene Ontology,1,PMC5913055,"3DAPS, seeds at 3 d after pollination; 7DS, 7-day-old shoots; 7DR, 7-day-old roots; ML, mature leaves; MF, mature flower; YP, young panicles (2 cm long); and anthers at bi-cellular gametophyte stage (BG); tri-cellular mature pollen stage (MP); meiosis and tetrad (M/T); and uni-cellular gametophyte stage (UG) ## BIOLOGICAL PROCESSES SPECIFIC TO LATE POLLEN-PREFERRED GENES We conducted a Gene Ontology (GO) enrichment analysis in ROAD (Jung et al.2008) to query 627 late pollen-preferred genes belonging to Clusters 2 and 35."
Rice Oligonucleotide Array Database,ROAD,1,PMC5913055,Anatomical meta-expression data from ROAD were used to check expression patterns in other tissues.
TISSUES,TISSUES,0,PMC5913055,Anatomical meta-expression data from ROAD were used to check expression patterns in other tissues.
Rice Oligonucleotide Array Database,ROAD,1,PMC5913055,"As a control, all of the Affymetrix anatomical meta-expression profiles in the Rice Oligonucleotide Array Database (ROAD;), except for two anther samples, were used to check expression patterns in other tissues/organs (Cao et al.2012)."
Rice Oligonucleotide Array Database,Rice Oligonucleotide Array Database,1,PMC5913055,"As a control, all of the Affymetrix anatomical meta-expression profiles in the Rice Oligonucleotide Array Database (ROAD;), except for two anther samples, were used to check expression patterns in other tissues/organs (Cao et al.2012)."
TISSUES,TISSUES,0,PMC5913055,"As a control, all of the Affymetrix anatomical meta-expression profiles in the Rice Oligonucleotide Array Database (ROAD;), except for two anther samples, were used to check expression patterns in other tissues/organs (Cao et al.2012)."
GOC,GO,1,PMC5913055,Our objective was to examine GO enrichment within the category of ‘biological process’ with the ROAD GO enrichment tool.
Rice Oligonucleotide Array Database,ROAD,1,PMC5913055,Our objective was to examine GO enrichment within the category of ‘biological process’ with the ROAD GO enrichment tool.
TISSUES,TISSUES,0,PMC11573900,A possible explanation for the poor performance in some tissues relates to limited sample sizes in the training data and the potential for the model to improve as access to more healthy tissue data increases.
TISSUES,TISSUES,0,PMC11573900,"# DISCUSSION Here, we have presented how a VAE can learn to represent the fundamentals of transcriptomics associated with human tissues."
TISSUES,TISSUES,0,PMC11573900,"To further test against a wider array of tissues, we used the STRING."
TISSUES,TISSUES,0,PMC11573900,"Next, we used bulk RNA-seq data from the 30 distinct healthy tissues from the 948 donors in the GTEx, randomly divided into 11,258 training, 4,362 validation, and 1,762 test samples, which were unused in model training."
TISSUES,TISSUES,1,PMC11573900,"To this end, we downloaded the knowledge channel of the TISSUES 2.0 database containing manually curated known associations between gene expression and human tissue types.20We matched the 30 distinct tissue types in our data to the tissue types present in TISSUES 2.0, considering only literal matches, i.e., “Muscle” to “Muscle” and so forth."
TISSUES,TISSUES,1,PMC11573900,"The tissue-gene sets used in this study were sourced from the TISSUES 2.0 database, from which we selected curated known associations between gene expression and human tissue types.20We matched the 30 distinct tissue types in our data with those present in TISSUES 2.0, considering only exact matches."
TISSUES,TISSUES,0,PMC11573900,"Furthermore, since tissues consist of several cell types, we present a more extensive analysis inTable S1, which includes all statistically significant cell type matches."
TISSUES,TISSUES,1,PMC11573900,(E) We tested if cell types were encoded in the latent space and compared top-associated genes of 16 tissues in the data to tissue-gene associations in the TISSUES 2.0 database using Fisher’s exact test.
TISSUES,TISSUES,0,PMC11573900,"The training data from the GTEx contained bulk RNA-seq from 30 distinct healthy human tissues divided into 54 subcategories, and we hypothesized that the differences between tissue types are the most significant source of variation in the training data."
MAP,MAP,0,PMC11573900,"To this end, we used the STRING PPI network map at a threshold of 700, as implemented in the STRINGdb R package."
STRING,STRING,1,PMC11573900,"To this end, we used the STRING PPI network map at a threshold of 700, as implemented in the STRINGdb R package."
DISEASES,DISEASES,0,PMC9677481,"The diseases in e-TSN were mapped to the Disease Ontology database [38] and Orphanet, including nine categories (Figure 2C): infectious disease, disease of anatomical entity, disease of cellular proliferation, disease of metabolism, disease of mental health, genetic disease, physical disorder, syndrome and rare disease."
DISEASES,DISEASES,0,PMC9677481,The database can provide comprehensive data resources covering more than 300 million potential relationships between >17 000 diseases and >20 000 genes/proteins.
DISEASES,DISEASES,0,PMC9677481,The relationships between diseases and targets support the vital structure of the e-TSN database.
DISEASES,DISEASES,0,PMC9677481,"The current version database contains 315 810 563 target–disease associations classified into the curated and scientific literature, between 20 257 targets and 17 043 diseases (Figure 2A)."
DISEASES,DISEASES,0,PMC9677481,"We collected all non-redundant diseases’ names and their synonyms, which represent common key concepts found in medical literature from the DO [38] and Orphanet, including infectious disease, disease of anatomical entity, disease of cellular proliferation, disease of metabolism, disease of mental health, genetic disease, physical disorder, syndrome and rare disease."
DISEASES,DISEASES,1,PMC9677481,"Many text-mining tools such as PubTator [22], PolySearch [23], Chemotext [24], DISEASES [25], miRCancer [26] and BIONDA [27] have been developed to mine and organize the relevant textual information."
DISEASES,DISEASES,0,PMC9677481,"## WEB SERVER DEVELOPMENT The e-TSN web server (http://www.lilab-ecust.cn/etsn/) involves two main functions: (1) building the knowledge graph that outlines causal associations between targets and disease, and providing useful searchable archives which allow users to either query for a target name to find associated diseases or query for a disease to discover new potential targets according to the significance and novelty distribution in the scatter plot."
DISEASES,DISEASES,0,PMC9677481,"Here, we describe e-TSN (Target significance and novelty explorer,http://www.lilab-ecust.cn/etsn/), a knowledge visualization web server integrating the largest database of associations between targets and diseases from the full scientific literature by constructing significance and novelty scoring methods based on bibliometric statistics."
DISEASES,DISEASES,0,PMC9677481,"After utilizing the Stanford CoreNLP’s application for sentence splitting, we identified the relationships between targets and diseases by using a list of controlled verbs and nominalization terms that are used to describe relations of interest."
DISEASES,DISEASES,0,PMC9677481,Target discovery and identification is the starting point of drug development and the most critical step to the mechanism-based drug discovery campaign’s success in diagnosing and fighting human diseases [2].
DISEASES,DISEASES,0,PMC9677481,"Because the pathological and biological mechanisms of human diseases are quite complex, the key task in target discovery is not only to identify, preferentially select reliable ‘druggable’ targets but also to search for disease-target potential interactions to understand the fundamental molecular mechanism underlying most human diseases [7]."
DISEASES,DISEASES,0,PMC9677481,"Therefore, research and knowledge of therapeutic targets related to specific diseases need to be identified, which can be advantageous in speeding up the drug discovery process."
DISEASES,DISEASES,0,PMC9677481,"In this paper, a novel method of knowledge synthesis and discovery based on literature is proposed to build a knowledge graph to capture and represent multiple causal relationships between diseases and targets."
DISEASES,DISEASES,0,PMC9677481,"While the novelty represents the potential and value of the given entity (target or disease), a novel target means a new cellular mechanism or phenotypes of human diseases."
DISEASES,DISEASES,0,PMC9677481,"The future development direction of this project includes improving the text-mining algorithm to obtain high semantic correlation, while improving the knowledge graphs framework for meaningful associations between diseases, targets and drugs."
DISEASES,DISEASES,0,PMC9677481,The significance represents the relative strength of the association between targets and diseases.
DISEASES,DISEASES,0,PMC9677481,"By using named entity recognition (NER) [33] and relation extraction (RE) [34] to extract the relationship between targets and diseases from numerous full-text literature, we presented two new scoring schemes based on bibliometric indices: significance and novelty, which may play a pivotal role in the pathological and biological mechanisms behind human diseases."
DISEASES,DISEASES,0,PMC9677481,"In order to facilitate new target discovery from multiple biomedical texts, we score associations between targets and diseases using the significance (S(i,j)) and novelty (N(i)) scoring scheme based on biometrics."
DISEASES,DISEASES,0,PMC9677481,"The significance score represents the relative strength of the association between targets and diseases, which is an important feature of the two entities."
DISEASES,DISEASES,0,PMC9677481,"In the target identification phase, many techniques and open-access databases have provided complementary and comprehensive data, which are used to find and isolate a target, learn more about its functions and prove how these functions influence diseases."
DISEASES,DISEASES,0,PMC9677481,The overarching goal of e-TSN is to provide an interactive visualization platform for fast exploring the target–disease associations to understand the relationship between diseases and targets and facilitate researchers in discovering potential novel drug targets.
DISEASES,DISEASES,0,PMC9677481,"To implement the extraction of more complex associations at the level of sentences between targets and diseases, we further introduced the Natural Language Processing (NLP) [41] algorithm to extract knowledge from an unstructured text by using Lexical-syntactic patterns defined manually or generated automatically (Figure 1)."
DISEASES,DISEASES,0,PMC9677481,"Nowadays, biomedical TM has been extensively applied to identify biological entities such as protein, drug and microbe to understand their roles in diseases by finding information automatically from the scientific literature [15–21]."
DISEASES,DISEASES,0,PMC9677481,"After data integration is implemented and valuable information is extracted, we further constructed a web tool e-TSN, for prioritizing the diseases-targets associations aimed at helping users who are interested in individual diseases or targets by visualizing novelty and significance on two-dimensional scatter plots."
DISEASES,DISEASES,0,PMC9677481,"Mining unstructured text consisting of entities such as genes, proteins, diseases, symptoms and drugs can speed up critical prediction tasks such as new treatment discovery or drug repurposing [14]."
DISEASES,DISEASES,0,PMC9677481,"To achieve the goal, we plan to extend the data sources of diseases and targets, mining potential associations between them on more full texts and abstracts, and integrate other different data mining approaches to overcome the drawbacks of a single text-mining method."
DISEASES,DISEASES,0,PMC9677481,"Similarly, users can also explore the significance and novelty distribution of the diseases related to the specific target, with the aim of searching and demonstrating alternative indications for target genes of interest.Figure 5shows diseases that are associated with ‘Angiotensin-converting enzyme 2,’ the preferred candidates appear in the upper right corner of the scatter diagram, which can assist researchers in quickly grasping which diseases are associated with the target of interest, and the disease of ‘severe acute respiratory syndrome’ can be found in the scatter plot."
DISEASES,DISEASES,0,PMC9677481,"As a result, thousands of articles can be found for the most well-studied diseases or targets."
DISEASES,DISEASES,0,PMC9677481,"The normalizing factorCis the sum over all pairs of targets and diseases andRis the sum over all pairs of related proteins and diseases\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{upgreek} \usepackage{mathrsfs} \setlength{\oddsidemargin}{-69pt} \begin{document} }{}$$ N(i)=1/\sum_{k=1}^n\frac{m\ast F(i)}{\sum F} $$\end{document}whereF(i) represents the frequency of target (i) or disease (j) in literature (k),mstands for the number of targets or diseases andnsignifies the summation over all publications, including target (i) or disease (j)."
VIOLIN,VIOLIN,1,PMC8174437,"The latest being vaccine investigation and online information network, (VIOLIN) which relies on AI, database, and in silico tools."
VIOLIN,Vaccine Investigation and Online Information Network,1,PMC8174437,"The latest being vaccine investigation and online information network, (VIOLIN) which relies on AI, database, and in silico tools."
DISEASES,DISEASES,0,PMC5845111,"While vaccines have been successfully designed for those infectious diseases preventable by preexisting neutralizing specific antibodies, for other communicable diseases, additional immunological mechanisms should be elicited to achieve a full protection."
DISEASES,DISEASES,0,PMC5845111,"Since their implementation, they have managed to bring several health and economic benefits, both in developed and developing countries, significantly reducing the burden generated by infectious diseases (2)."
DISEASES,DISEASES,0,PMC5845111,"Novel data streams can track different vaccine-preventable infectious diseases, such as influenza (83–85), pertussis (86,87), or measles (88), among others."
ModERN,ModERN,0,PMC5845111,"This use of big data emphasizes the dimension of “veracity,” through which is possible to contrast vaccine-related “fake news” and “post-modern, post-factual truths,” disseminated by the anti-vaccination movements (107)."
DISEASES,DISEASES,0,PMC5845111,"Within the ambitious “Project Tycho” (freely accessible atwww.tycho.pitt.edu) launched by the University of Pittsburgh, United States (105,106), authors have digitized all weekly surveillance reports of notifiable diseases for United States cities and states published in the period between 1888 and 2011."
Vaxar,Vaxar,1,PMC5845111,"Databases of vaccine candidates, such as MalVac (34), or Vaxar (35), software tools such as Vaxjo (36), VIOLIN (37–39), NERVE (40), Vaxign (41), Vacceed (42), Jenner-predict server (43), EpiToolKit (44), iVax (45), or VaxiJen (46), have been specifically implemented for vaccinology to enable prediction of vaccine antigens or adjuvants."
VaxiJen,VaxiJen,1,PMC5845111,"Databases of vaccine candidates, such as MalVac (34), or Vaxar (35), software tools such as Vaxjo (36), VIOLIN (37–39), NERVE (40), Vaxign (41), Vacceed (42), Jenner-predict server (43), EpiToolKit (44), iVax (45), or VaxiJen (46), have been specifically implemented for vaccinology to enable prediction of vaccine antigens or adjuvants."
VIOLIN,VIOLIN,1,PMC5845111,"Databases of vaccine candidates, such as MalVac (34), or Vaxar (35), software tools such as Vaxjo (36), VIOLIN (37–39), NERVE (40), Vaxign (41), Vacceed (42), Jenner-predict server (43), EpiToolKit (44), iVax (45), or VaxiJen (46), have been specifically implemented for vaccinology to enable prediction of vaccine antigens or adjuvants."
ModERN,ModERN,1,PMC9071529,## CHROMATIN IMMUNOPRECIPITATION SEQUENCING DATA We obtained the chromatin immunoprecipitation (ChIP) sequencing data analyzed in this study using the interfacehttp://epic.gs.washington.edu/modERN/that compiles the data from the model organism Encyclopedia of Regulatory Networks (modERN) consortium (Kudronet al.2018)—branched from the model organism encyclopedia of DNA Elements (modENCODE) project (Gersteinet al.2010)—available at:https://www.encodeproject.org/experiments/ENCSR969MNX/.
ModERN,ModERN,1,PMC9071529,"Based on our transcriptome profiling experiments and ChIP-seq (chromatin immunoprecipitation followed by sequencing) analysis of data available from modERN (branched from modENCODE project), we propose that LSL-1 acts as a direct transcriptional activator of germline genes involved in different aspects of germline development, including meiotic prophase progression and genome stability."
ModERN,ModERN,1,PMC9071529,# DATA AVAILABILITY Sequencing ﬁles of the LSL-1 ChIP-seq experiment are accessible through the modERN websitehttp://epic.gs.washington.edu/modERN/.
ModERN,ModERN,1,PMC9071529,"## LSL-1 BINDING SITES ARE HIGHLY ENRICHED ON AUTOSOMES To identify LSL-1 binding site to the genome, we analyzed ChIP-seq data available from the modERN consortium (Kudronet al.2018)."
ICE,ICE,1,PMC12021114,"used ICE Rat Acute Toxicity data to train a RF Quantitative Structure‐Activity Relationships (QSAR) model, classifying chemicals based on LD50 into Globally Harmonized System of Classification and Labelling of Chemicals (GHS) categories."
ICE,ICE,1,PMC12021114,"The ToxRefDB provides extensive experimental data coverage and dose‐response models, while ICE is noted for its free access, computational tools, and multi‐endpoint dataset integration."
ICE,ICE,1,PMC12021114,"The most used cardiotoxicity datasets are Tox21, ChEMBL, ICE, PubChem, BindingDB, and hERGCentral."
ICE,ICE,1,PMC12021114,"Commonly used acute toxicity datasets include TOXRIC, Integrated Chemical Environment (ICE), Environmental Protection Agency Distributed Structure‐Searchable Toxicity (EPA DSSTox)/EPA's ToxVal, ChemIDplus, eChemPortal, National Institute of Technology and Evaluation (NITE) Chemical Risk Information Platform, PubChem, and personalized datasets compiled by researchers."
ICE,ICE,1,PMC12021114,"#### ICE ICE provides free access to in vivo and in vitro test data, alongside computational tools for toxicity prediction."
ICE,Integrated Chemical Environment,1,PMC12021114,"Commonly used acute toxicity datasets include TOXRIC, Integrated Chemical Environment (ICE), Environmental Protection Agency Distributed Structure‐Searchable Toxicity (EPA DSSTox)/EPA's ToxVal, ChemIDplus, eChemPortal, National Institute of Technology and Evaluation (NITE) Chemical Risk Information Platform, PubChem, and personalized datasets compiled by researchers."
ICE,ICE,1,PMC12021114,"8 ICE In vivo, in vitro toxicity, predicted toxicity √ √ https://ice.ntp.niehs.nih.gov/ 2024"
ICE,ICE,1,PMC12021114,"[61]ICE integrates toxicity endpoints of acute oral, dermal, inhalation toxicity, cancer, developmental, and reproductive toxicity."
CORE,CORE,0,PMC11271732,## METHODS PGK1 and BC related literature was downloaded from Web of Science Core Collection Core Collection.
CORE,CORE,0,PMC11271732,"Three co-citation clusters were formed with Grandjean G, Ahmad SS, and Warburg O as the core authors, among which Sun S had the highest number of co-citations and was at the center of the co-citation network."
MAP,MAP,0,PMC11271732,"Data processing methods:The Bibliometrix program in R language was employed to retrieve document data, draw the annual scientific publication curve and geographic distribution map of the corresponding authors; and making a word cloud, thematic plot, and trending topics."